Transaction_ID,Customer_ID,Price,Status,Product_Name,Quantity,Date
101,C-170,12.01,Pending,Screen Protector,2,2024-03-31
102,C-6,93.37,Processing,Keyboard,5,2024-03-10
103,C-261,88.45,Delivered,Laptop Stand,2,2024-04-29
104,C-293,0.0,Shipped,Cable Organizer,4,2024-06-25
105,C-103,20.37,Processing,Surge Protector,4,2024-02-21
106,C-200,88.15,Cancelled,Keyboard,5,2024-09-27
107,C-69,218.7,Pending,Studio Headphones,3,2024-07-12
108,C-95,89.56,Processing,Gaming Headset,4,2024-10-24
109,C-199,44.37,Pending,Laptop Bag,4,2024-12-30
110,C-134,151.76,Processing,Mechanical Keyboard,4,2024-09-29
111,C-228,194.46,Delivered,Webcam,1,2024-02-03
112,C-293,34.2,Pending,Power Bank,4,2024-05-12
113,C-297,209.38,Cancelled,Docking Station,3,2024-07-28
114,C-161,52.65,Cancelled,USB Hub,1,2024-01-30
115,C-138,508.36,Shipped,VR Headset,3,2024-10-02
116,C-184,47.42,Cancelled,USB Flash Drive,3,2024-10-17
117,C-299,419.86,Shipped,Action Camera,4,2024-05-19
118,C-139,46.07,Processing,USB Flash Drive,3,2024-10-03
119,C-124,202.76,Pending,Drawing Tablet,1,2024-10-04
120,C-27,17.77,Delivered,Cable Organizer,5,2024-07-29
121,C-63,241.62,Shipped,Portable Monitor,3,2024-08-08
122,C-140,105.11,Shipped,Bluetooth Speaker,3,2024-03-21
123,C-269,35.86,Cancelled,Laptop Sleeve,5,2024-07-11
124,C-55,28.9,Shipped,Mouse Pad,3,2024-04-14
125,C-185,62.28,Pending,Desk Lamp,4,2024-08-01
126,C-270,497.21,Cancelled,Smart Watch,3,2024-01-02
127,C-121,15.55,Delivered,USB Cable,4,2024-02-28
128,C-288,281.47,Shipped,UPS Battery Backup,4,2024-04-03
129,C-228,2249.15,Delivered,3D Printer,1,2024-09-05
130,C-3,21.56,Delivered,HDMI Cable,4,2024-08-26
131,C-162,257.62,Delivered,Drawing Tablet,5,2024-04-04
132,C-152,18.91,Delivered,USB Cable,3,2024-03-27
