transaction_id,customer_id,product_category,amount
TXN-20240601-0001,CUST0041,Clothing,29.89
TXN-20240601-0002,CUST0018,Sports,227.09
TXN-20240601-0003,CUST0048,Clothing,678.31
TXN-20240601-0004,CUST0035,Clothing,592.53
TXN-20240601-0005,CUST0003,Electronics,98.23
TXN-20240601-0006,CUST0015,Health,604.0
TXN-20240601-0007,CUST0036,Sports,717.43
TXN-20240601-0008,CUST0045,Health,422.42
TXN-20240601-0009,CUST0029,Beauty,281.8
TXN-20240601-0010,CUST0001,Groceries,699.64
TXN-20240601-0011,CUST0022,Home & Garden,159.7
TXN-20240601-0012,CUST0049,Books,106.7
TXN-20240601-0013,CUST0025,Clothing,362.18
TXN-20240601-0014,CUST0023,Beauty,268.2
TXN-20240601-0015,CUST0003,Automotive,538.54
TXN-20240601-0016,CUST0025,Clothing,554.27
TXN-20240601-0017,CUST0041,Beauty,886.02
TXN-20240601-0018,CUST0024,Beauty,196.33
TXN-20240601-0019,CUST0005,Electronics,662.95
TXN-20240601-0020,CUST0050,Home & Garden,985.29
TXN-20240601-0021,CUST0015,Clothing,383.22
TXN-20240601-0022,CUST0030,Books,166.84
TXN-20240601-0023,CUST0023,Sports,671.82
TXN-20240601-0024,CUST0045,Clothing,611.08
TXN-20240601-0025,CUST0011,Health,730.47
TXN-20240601-0026,CUST0011,Automotive,382.55
TXN-20240601-0027,CUST0041,Health,223.51
TXN-20240601-0028,CUST0021,Electronics,232.9
TXN-20240601-0029,CUST0003,Books,404.15
TXN-20240601-0030,CUST0005,Sports,913.56
TXN-20240601-0031,CUST0037,Books,216.56
TXN-20240601-0032,CUST0032,Toys,885.25
TXN-20240601-0033,CUST0042,Automotive,147.16
TXN-20240601-0034,CUST0009,Sports,746.26
TXN-20240601-0035,CUST0035,Home & Garden,748.27
TXN-20240601-0036,CUST0028,Beauty,402.4
TXN-20240601-0037,CUST0015,Groceries,511.97
TXN-20240601-0038,CUST0006,Electronics,861.79
TXN-20240601-0039,CUST0010,Groceries,793.11
TXN-20240601-0040,CUST0028,Beauty,68.21
TXN-20240601-0041,CUST0025,Beauty,996.13
TXN-20240601-0042,CUST0034,Home & Garden,971.21
TXN-20240601-0043,CUST0001,Clothing,683.3
TXN-20240601-0044,CUST0035,Home & Garden,769.75
TXN-20240601-0045,CUST0022,Clothing,297.03
TXN-20240601-0046,CUST0011,Automotive,8.23
TXN-20240601-0047,CUST0047,Home & Garden,972.02
TXN-20240601-0048,CUST0049,Groceries,510.14
TXN-20240601-0049,CUST0007,Home & Garden,842.45
TXN-20240601-0050,CUST0033,Beauty,202.91
TXN-20240601-0051,CUST0024,Groceries,541.68
TXN-20240601-0052,CUST0050,Health,918.89
TXN-20240601-0053,CUST0039,Books,491.16
TXN-20240601-0054,CUST0008,Books,879.32
TXN-20240601-0055,CUST0020,Sports,62.63
TXN-20240601-0056,CUST0037,Clothing,90.22
TXN-20240601-0057,CUST0032,Clothing,978.08
TXN-20240601-0058,CUST0035,Groceries,132.75
TXN-20240601-0059,CUST0031,Health,169.3
TXN-20240601-0060,CUST0034,Beauty,426.02
TXN-20240601-0061,CUST0014,Health,756.48
TXN-20240601-0062,CUST0045,Sports,714.38
TXN-20240601-0063,CUST0026,Books,440.91
TXN-20240601-0064,CUST0034,Automotive,125.4
TXN-20240601-0065,CUST0015,Clothing,341.39
TXN-20240601-0066,CUST0038,Health,233.96
TXN-20240601-0067,CUST0015,Electronics,75.64
TXN-20240601-0068,CUST0041,Electronics,232.79
TXN-20240601-0069,CUST0003,Books,75.5
TXN-20240601-0070,CUST0016,Home & Garden,670.63
TXN-20240601-0071,CUST0014,Health,136.65
TXN-20240601-0072,CUST0037,Beauty,475.3
TXN-20240601-0073,CUST0031,Toys,194.46
TXN-20240601-0074,CUST0007,Toys,357.52
TXN-20240601-0075,CUST0027,Automotive,864.51
TXN-20240601-0076,CUST0004,Clothing,65.31
TXN-20240601-0077,CUST0047,Books,801.58
TXN-20240601-0078,CUST0007,Sports,195.63
TXN-20240601-0079,CUST0035,Automotive,144.48
TXN-20240601-0080,CUST0012,Home & Garden,465.31
TXN-20240601-0081,CUST0005,Automotive,808.97
TXN-20240601-0082,CUST0036,Clothing,55.33
TXN-20240601-0083,CUST0035,Electronics,969.14
TXN-20240601-0084,CUST0049,Sports,170.48
TXN-20240601-0085,CUST0032,Automotive,217.68
TXN-20240601-0086,CUST0026,Electronics,168.81
TXN-20240601-0087,CUST0001,Toys,268.87
TXN-20240601-0088,CUST0030,Home & Garden,425.89
TXN-20240601-0089,CUST0047,Health,663.56
TXN-20240601-0090,CUST0032,Groceries,193.95
TXN-20240601-0091,CUST0014,Electronics,581.28
TXN-20240601-0092,CUST0035,Electronics,749.23
TXN-20240601-0093,CUST0004,Electronics,586.25
TXN-20240601-0094,CUST0033,Health,161.64
TXN-20240601-0095,CUST0033,Clothing,852.08
TXN-20240601-0096,CUST0005,Beauty,72.62
TXN-20240601-0097,CUST0016,Toys,124.29
TXN-20240601-0098,CUST0037,Sports,581.02
TXN-20240601-0099,CUST0003,Beauty,86.57
