transaction_id,customer_id,product_category,amount,discount_applied
TXN-20240603-0001,CUST0048,Groceries,885.98,true
TXN-20240603-0002,CUST0032,Beauty,411.07,false
TXN-20240603-0003,CUST0003,Books,221.18,false
TXN-20240603-0004,CUST0016,Books,103.86,false
TXN-20240603-0005,CUST0035,Books,65.25,false
TXN-20240603-0006,CUST0013,Clothing,949.26,false
TXN-20240603-0007,CUST0006,Sports,643.49,true
TXN-20240603-0008,CUST0004,Books,247.35,true
TXN-20240603-0009,CUST0037,Sports,73.27,true
TXN-20240603-0010,CUST0038,Sports,813.98,true
TXN-20240603-0011,CUST0022,Groceries,789.69,true
TXN-20240603-0012,CUST0018,Groceries,987.58,false
TXN-20240603-0013,CUST0012,Clothing,662.75,true
TXN-20240603-0014,CUST0009,Electronics,361.45,true
TXN-20240603-0015,CUST0038,Books,20.7,false
TXN-20240603-0016,CUST0004,Groceries,743.0,true
TXN-20240603-0017,CUST0048,Clothing,478.86,false
TXN-20240603-0018,CUST0033,Beauty,113.51,true
TXN-20240603-0019,CUST0040,Electronics,728.6,false
TXN-20240603-0020,CUST0030,Electronics,65.52,false
TXN-20240603-0021,CUST0026,Toys,687.66,false
TXN-20240603-0022,CUST0046,Automotive,78.12,true
TXN-20240603-0023,CUST0021,Beauty,152.59,true
TXN-20240603-0024,CUST0018,Beauty,634.91,false
TXN-20240603-0025,CUST0025,Beauty,532.9,false
TXN-20240603-0026,CUST0033,Beauty,433.04,true
TXN-20240603-0027,CUST0042,Health,722.23,true
TXN-20240603-0028,CUST0028,Automotive,888.64,false
TXN-20240603-0029,CUST0022,Automotive,401.73,true
TXN-20240603-0030,CUST0021,Toys,315.96,false
TXN-20240603-0031,CUST0024,Groceries,688.38,false
TXN-20240603-0032,CUST0005,Clothing,832.6,true
TXN-20240603-0033,CUST0028,Clothing,745.86,false
TXN-20240603-0034,CUST0009,Health,64.68,false
TXN-20240603-0035,CUST0043,Clothing,413.75,false
TXN-20240603-0036,CUST0047,Electronics,968.55,false
TXN-20240603-0037,CUST0023,Clothing,580.02,true
TXN-20240603-0038,CUST0010,Automotive,228.12,true
TXN-20240603-0039,CUST0023,Health,370.72,false
TXN-20240603-0040,CUST0037,Sports,808.18,true
TXN-20240603-0041,CUST0039,Home & Garden,33.81,false
TXN-20240603-0042,CUST0045,Home & Garden,921.92,false
TXN-20240603-0043,CUST0001,Groceries,870.5,false
