telemetry_id,device_id,timestamp,temperature,humidity,pressure,status,date
TEL-20240801-00109,DEV-0024,2024-08-01T03:43:23Z,59.92,88.45,1005.11,WARN,2024-08-01
TEL-20240801-00464,DEV-0048,2024-08-01T22:05:18Z,20.11,23.48,1039.77,OK,2024-08-01
TEL-20240801-00149,DEV-0020,2024-08-01T14:28:02Z,22.38,78.22,985.37,OK,2024-08-01
TEL-20240801-00379,DEV-0008,2024-08-01T14:39:38Z,22.24,66.63,1026.06,OK,2024-08-01
TEL-20240801-00328,DEV-0023,2024-08-01T15:06:28Z,73.59,51.67,984.7,OK,2024-08-01
TEL-20240801-00392,DEV-0049,2024-08-01T07:09:00Z,89.79,21.67,1017.91,OK,2024-08-01
TEL-20240801-00390,DEV-0036,2024-08-01T14:00:23Z,33.45,59.47,1001.27,ERROR,2024-08-01
TEL-20240801-00262,DEV-0024,2024-08-01T12:28:55Z,88.62,46.42,985.62,ERROR,2024-08-01
TEL-20240801-00123,DEV-0027,2024-08-01T23:06:20Z,50.86,66.56,1006.2,OK,2024-08-01
TEL-20240801-00386,DEV-0025,2024-08-01T04:11:59Z,91.95,22.48,1036.22,WARN,2024-08-01
TEL-20240801-00365,DEV-0020,2024-08-01T04:24:49Z,80.63,81.21,1024.91,OK,2024-08-01
TEL-20240801-00429,DEV-0021,2024-08-01T05:40:56Z,92.16,77.52,1026.9,OK,2024-08-01
TEL-20240801-00117,DEV-0003,2024-08-01T23:50:58Z,84.76,56.5,1012.06,OK,2024-08-01
TEL-20240801-00137,DEV-0020,2024-08-01T06:49:08Z,76.84,40.26,988.4,WARN,2024-08-01
TEL-20240801-00311,DEV-0032,2024-08-01T04:04:10Z,51.47,49.48,1013.9,OK,2024-08-01
TEL-20240801-00169,DEV-0029,2024-08-01T11:59:01Z,49.95,47.75,1006.18,WARN,2024-08-01
TEL-20240801-00275,DEV-0036,2024-08-01T13:26:35Z,58.81,47.19,997.85,OK,2024-08-01
TEL-20240801-00267,DEV-0016,2024-08-01T06:04:06Z,63.73,51.25,1027.04,OK,2024-08-01
TEL-20240801-00136,DEV-0034,2024-08-01T21:19:02Z,34.98,88.91,983.83,OK,2024-08-01
TEL-20240801-00404,DEV-0030,2024-08-01T03:51:50Z,28.76,20.84,1038.13,OK,2024-08-01
TEL-20240801-00369,DEV-0009,2024-08-01T07:17:41Z,24.49,58.74,1022.0,ERROR,2024-08-01
TEL-20240801-00145,DEV-0010,2024-08-01T08:12:11Z,64.38,73.22,1025.89,OK,2024-08-01
TEL-20240801-00220,DEV-0040,2024-08-01T21:39:07Z,27.91,26.77,1006.12,OK,2024-08-01
TEL-20240801-00349,DEV-0018,2024-08-01T19:34:10Z,42.92,69.28,1000.25,OK,2024-08-01
TEL-20240801-00125,DEV-0009,2024-08-01T17:03:37Z,91.66,59.32,1026.9,WARN,2024-08-01
TEL-20240801-00183,DEV-0033,2024-08-01T12:52:34Z,54.45,22.56,1025.28,OK,2024-08-01
TEL-20240801-00293,DEV-0018,2024-08-01T12:05:23Z,91.87,52.13,997.02,OK,2024-08-01
TEL-20240801-00437,DEV-0027,2024-08-01T22:35:46Z,89.27,57.81,1026.24,OK,2024-08-01
TEL-20240801-00459,DEV-0024,2024-08-01T01:32:50Z,30.24,41.78,1015.48,OK,2024-08-01
TEL-20240801-00030,DEV-0014,2024-08-01T14:20:21Z,76.61,46.54,1032.64,WARN,2024-08-01
TEL-20240801-00276,DEV-0042,2024-08-01T02:59:28Z,83.23,26.47,1030.72,OK,2024-08-01
TEL-20240801-00238,DEV-0015,2024-08-01T20:14:03Z,25.72,43.12,1013.07,OK,2024-08-01
TEL-20240801-00096,DEV-0050,2024-08-01T07:38:51Z,45.13,64.56,1023.46,OK,2024-08-01
TEL-20240801-00073,DEV-0002,2024-08-01T20:38:51Z,36.43,31.09,1018.56,ERROR,2024-08-01
TEL-20240801-00387,DEV-0015,2024-08-01T10:15:26Z,88.52,42.4,1037.82,ERROR,2024-08-01
TEL-20240801-00297,DEV-0034,2024-08-01T01:14:13Z,87.4,68.46,1019.67,OK,2024-08-01
TEL-20240801-00312,DEV-0024,2024-08-01T08:15:46Z,66.13,61.57,993.69,OK,2024-08-01
TEL-20240801-00200,DEV-0036,2024-08-01T04:39:56Z,24.64,41.65,1049.97,WARN,2024-08-01
TEL-20240801-00324,DEV-0049,2024-08-01T10:50:27Z,26.16,26.9,995.54,ERROR,2024-08-01
TEL-20240801-00363,DEV-0001,2024-08-01T00:44:21Z,80.92,89.17,1009.56,OK,2024-08-01
TEL-20240801-00218,DEV-0017,2024-08-01T23:23:48Z,49.05,23.17,983.58,ERROR,2024-08-01
TEL-20240801-00322,DEV-0003,2024-08-01T11:44:57Z,80.55,61.57,1044.01,OK,2024-08-01
TEL-20240801-00160,DEV-0013,2024-08-01T07:08:09Z,23.94,79.11,987.08,ERROR,2024-08-01
TEL-20240801-00152,DEV-0029,2024-08-01T03:51:57Z,82.48,88.77,985.9,OK,2024-08-01
TEL-20240801-00133,DEV-0050,2024-08-01T18:38:05Z,86.02,30.89,1032.81,OK,2024-08-01
TEL-20240801-00035,DEV-0050,2024-08-01T05:19:06Z,62.56,85.02,1020.31,WARN,2024-08-01
TEL-20240801-00008,DEV-0024,2024-08-01T13:04:42Z,88.9,63.62,1026.44,OK,2024-08-01
TEL-20240801-00044,DEV-0045,2024-08-01T08:35:00Z,57.78,33.37,996.89,WARN,2024-08-01
TEL-20240801-00257,DEV-0046,2024-08-01T18:31:05Z,87.21,51.18,983.89,OK,2024-08-01
TEL-20240801-00469,DEV-0033,2024-08-01T21:53:53Z,46.82,65.31,1022.63,OK,2024-08-01
TEL-20240801-00021,DEV-0050,2024-08-01T16:31:40Z,36.42,50.79,1029.95,OK,2024-08-01
TEL-20240801-00119,DEV-0005,2024-08-01T02:20:38Z,29.42,28.83,1023.7,ERROR,2024-08-01
TEL-20240801-00397,DEV-0038,2024-08-01T18:03:27Z,69.01,29.15,1000.42,OK,2024-08-01
TEL-20240801-00280,DEV-0046,2024-08-01T06:25:58Z,36.43,42.51,999.81,WARN,2024-08-01
TEL-20240801-00029,DEV-0006,2024-08-01T20:27:08Z,84.75,32.72,998.21,OK,2024-08-01
TEL-20240801-00362,DEV-0046,2024-08-01T03:00:13Z,54.71,29.29,995.83,WARN,2024-08-01
TEL-20240801-00415,DEV-0031,2024-08-01T16:22:49Z,62.97,36.29,991.17,OK,2024-08-01
TEL-20240801-00017,DEV-0050,2024-08-01T13:14:11Z,79.92,68.71,1012.52,ERROR,2024-08-01
TEL-20240801-00382,DEV-0050,2024-08-01T00:21:51Z,51.06,56.67,998.41,ERROR,2024-08-01
TEL-20240801-00239,DEV-0001,2024-08-01T17:59:10Z,49.33,85.45,1041.49,WARN,2024-08-01
TEL-20240801-00105,DEV-0045,2024-08-01T09:41:26Z,26.98,23.17,982.6,WARN,2024-08-01
TEL-20240801-00219,DEV-0013,2024-08-01T11:35:18Z,23.66,55.3,1033.51,OK,2024-08-01
TEL-20240801-00036,DEV-0026,2024-08-01T22:12:04Z,63.59,78.14,997.0,OK,2024-08-01
TEL-20240801-00274,DEV-0031,2024-08-01T07:54:14Z,41.16,69.53,1036.4,OK,2024-08-01
TEL-20240801-00023,DEV-0046,2024-08-01T06:04:26Z,49.39,57.98,1009.1,OK,2024-08-01
TEL-20240801-00298,DEV-0003,2024-08-01T02:43:59Z,39.59,58.01,1026.07,OK,2024-08-01
TEL-20240801-00264,DEV-0047,2024-08-01T07:53:00Z,76.23,88.49,1012.41,ERROR,2024-08-01
TEL-20240801-00012,DEV-0039,2024-08-01T20:20:29Z,52.02,67.29,1015.78,OK,2024-08-01
TEL-20240801-00005,DEV-0008,2024-08-01T08:11:37Z,92.12,38.58,987.59,WARN,2024-08-01
TEL-20240801-00043,DEV-0021,2024-08-01T05:31:13Z,45.32,38.08,999.58,ERROR,2024-08-01
TEL-20240801-00345,DEV-0035,2024-08-01T06:27:06Z,74.67,65.76,997.33,OK,2024-08-01
TEL-20240801-00237,DEV-0045,2024-08-01T08:08:06Z,65.41,61.08,996.97,ERROR,2024-08-01
TEL-20240801-00180,DEV-0009,2024-08-01T01:22:34Z,44.07,65.0,1038.13,WARN,2024-08-01
TEL-20240801-00377,DEV-0014,2024-08-01T04:34:20Z,48.09,64.4,1038.42,OK,2024-08-01
TEL-20240801-00449,DEV-0039,2024-08-01T08:20:58Z,73.99,76.51,986.09,ERROR,2024-08-01
TEL-20240801-00188,DEV-0046,2024-08-01T13:10:44Z,52.18,51.3,1030.88,OK,2024-08-01
TEL-20240801-00167,DEV-0024,2024-08-01T17:59:06Z,72.78,56.11,988.73,OK,2024-08-01
TEL-20240801-00157,DEV-0009,2024-08-01T19:45:05Z,41.84,46.37,1035.42,OK,2024-08-01
TEL-20240801-00273,DEV-0034,2024-08-01T10:44:26Z,49.44,40.99,992.87,ERROR,2024-08-01
TEL-20240801-00306,DEV-0046,2024-08-01T20:09:47Z,48.0,45.25,986.41,OK,2024-08-01
TEL-20240801-00500,DEV-0042,2024-08-01T07:29:18Z,38.34,23.51,1036.92,OK,2024-08-01
TEL-20240801-00283,DEV-0037,2024-08-01T07:47:09Z,19.25,58.73,1020.88,WARN,2024-08-01
TEL-20240801-00388,DEV-0024,2024-08-01T03:32:43Z,87.45,32.55,1036.3,OK,2024-08-01
TEL-20240801-00487,DEV-0020,2024-08-01T04:06:24Z,56.76,41.43,984.57,OK,2024-08-01
TEL-20240801-00370,DEV-0019,2024-08-01T22:01:54Z,83.22,81.31,994.38,ERROR,2024-08-01
TEL-20240801-00087,DEV-0028,2024-08-01T03:48:40Z,72.2,27.04,991.65,OK,2024-08-01
TEL-20240801-00402,DEV-0010,2024-08-01T02:45:15Z,92.57,47.74,983.43,OK,2024-08-01
TEL-20240801-00022,DEV-0018,2024-08-01T10:20:57Z,59.59,29.69,996.19,OK,2024-08-01
TEL-20240801-00161,DEV-0048,2024-08-01T16:02:42Z,43.93,73.64,989.17,WARN,2024-08-01
TEL-20240801-00277,DEV-0004,2024-08-01T08:24:43Z,64.58,22.77,985.09,ERROR,2024-08-01
TEL-20240801-00320,DEV-0016,2024-08-01T08:42:09Z,73.07,75.24,985.18,ERROR,2024-08-01
TEL-20240801-00113,DEV-0039,2024-08-01T00:17:54Z,93.77,89.13,1017.82,OK,2024-08-01
TEL-20240801-00472,DEV-0004,2024-08-01T19:25:42Z,42.61,29.8,981.78,WARN,2024-08-01
TEL-20240801-00084,DEV-0005,2024-08-01T15:50:16Z,44.07,68.49,1025.49,OK,2024-08-01
TEL-20240801-00489,DEV-0022,2024-08-01T15:22:48Z,32.51,86.37,1044.27,WARN,2024-08-01
