telemetry_id,device_id,timestamp,temperature,humidity,pressure,status,date,battery_voltage
TEL-20240803-00101,DEV-0006,2024-08-03T20:45:58Z,47.59,69.42,1048.19,OK,2024-08-03,20.37
TEL-20240803-00498,DEV-0002,2024-08-03T19:57:45Z,29.8,71.53,1040.96,OK,2024-08-03,11.66
TEL-20240803-00131,DEV-0025,2024-08-03T01:51:21Z,29.76,70.17,1039.36,OK,2024-08-03,24.01
TEL-20240803-00113,DEV-0022,2024-08-03T03:00:29Z,85.03,48.13,1038.48,OK,2024-08-03,10.51
TEL-20240803-00320,DEV-0049,2024-08-03T16:32:54Z,42.13,86.11,1029.6,OK,2024-08-03,26.96
TEL-20240803-00031,DEV-0008,2024-08-03T10:59:13Z,41.49,36.81,1036.66,OK,2024-08-03,28.82
TEL-20240803-00220,DEV-0046,2024-08-03T03:31:10Z,94.29,35.72,1046.95,OK,2024-08-03,17.15
TEL-20240803-00040,DEV-0019,2024-08-03T14:33:22Z,35.72,22.88,1015.86,OK,2024-08-03,18.52
TEL-20240803-00391,DEV-0028,2024-08-03T17:08:07Z,51.72,82.8,1048.78,OK,2024-08-03,17.04
TEL-20240803-00344,DEV-0010,2024-08-03T16:18:39Z,60.98,31.38,1014.08,OK,2024-08-03,26.0
TEL-20240803-00370,DEV-0031,2024-08-03T19:42:11Z,62.35,84.92,1034.28,ERROR,2024-08-03,15.18
TEL-20240803-00483,DEV-0005,2024-08-03T11:40:35Z,86.02,44.15,980.99,OK,2024-08-03,15.49
TEL-20240803-00370,DEV-0031,2024-08-03T19:42:11Z,62.35,84.92,1034.28,ERROR,2024-08-03,15.18
TEL-20240803-00071,DEV-0035,2024-08-03T06:28:44Z,21.68,64.44,1016.6,OK,2024-08-03,17.81
TEL-20240803-00008,DEV-0024,2024-08-03T16:48:02Z,86.05,35.72,999.46,WARN,2024-08-03,20.65
TEL-20240803-00075,DEV-0033,2024-08-03T03:52:20Z,42.85,63.88,1023.73,ERROR,2024-08-03,17.9
TEL-20240803-00035,DEV-0033,2024-08-03T18:56:31Z,34.11,25.7,1012.95,ERROR,2024-08-03,11.3
TEL-20240803-00057,DEV-0048,2024-08-03T02:24:57Z,84.66,29.1,994.4,WARN,2024-08-03,26.36
TEL-20240803-00492,DEV-0017,2024-08-03T21:07:35Z,87.28,65.65,992.46,OK,2024-08-03,27.11
TEL-20240803-00392,DEV-0022,2024-08-03T13:58:03Z,36.34,26.44,980.7,WARN,2024-08-03,24.95
TEL-20240803-00496,DEV-0045,2024-08-03T22:16:17Z,66.15,87.98,1037.63,WARN,2024-08-03,29.94
TEL-20240803-00053,DEV-0013,2024-08-03T15:06:21Z,61.85,51.61,1042.63,OK,2024-08-03,13.43
TEL-20240803-00058,DEV-0043,2024-08-03T15:10:38Z,62.28,41.72,994.21,WARN,2024-08-03,15.51
TEL-20240803-00016,DEV-0027,2024-08-03T07:55:38Z,78.64,63.68,1011.74,WARN,2024-08-03,25.9
TEL-20240803-00348,DEV-0006,2024-08-03T09:14:02Z,54.43,44.82,1036.82,WARN,2024-08-03,18.45
TEL-20240803-00110,DEV-0001,2024-08-03T21:37:50Z,94.05,26.78,1016.56,OK,2024-08-03,17.51
TEL-20240803-00135,DEV-0049,2024-08-03T18:55:51Z,22.17,85.42,1001.29,OK,2024-08-03,21.54
TEL-20240803-00486,DEV-0009,2024-08-03T16:37:41Z,76.99,43.11,1034.04,ERROR,2024-08-03,22.1
TEL-20240803-00343,DEV-0030,2024-08-03T18:50:50Z,44.72,27.71,980.58,OK,2024-08-03,19.33
TEL-20240803-00123,DEV-0039,2024-08-03T02:41:21Z,47.03,70.22,1031.52,WARN,2024-08-03,23.08
TEL-20240803-00062,DEV-0047,2024-08-03T13:29:24Z,88.13,32.84,1019.8,WARN,2024-08-03,23.97
