transaction_id,customer_id,product_category,amount,quantity,payment_method,region,status,date
TXN-20260510-00001,CUST7618,Toys,504.19,3,debit_card,South,pending,2026-05-10
TXN-20260510-00002,CUST2418,Home & Garden,1823.93,9,crypto,North,processing,2026-05-10
TXN-20260510-00003,CUST4268,Toys,1806.95,10,debit_card,East,processing,2026-05-10
TXN-20260510-00004,CUST4483,Groceries,1156.4,3,crypto,East,completed,2026-05-10
TXN-20260510-00005,CUST9662,Clothing,1175.25,7,credit_card,East,completed,2026-05-10
TXN-20260510-00006,CUST7966,Sports,909.51,9,credit_card,West,pending,2026-05-10
TXN-20260510-00007,CUST8580,Electronics,897.02,4,debit_card,West,pending,2026-05-10
TXN-20260510-00008,CUST9244,Groceries,97.47,1,debit_card,West,processing,2026-05-10
TXN-20260510-00009,CUST2329,Toys,1581.87,3,paypal,Central,completed,2026-05-10
TXN-20260510-00010,CUST7243,Books,343.86,7,debit_card,North,pending,2026-05-10
TXN-20260510-00011,CUST8257,Home & Garden,1365.94,3,paypal,West,completed,2026-05-10
TXN-20260510-00012,CUST3145,Beauty,1948.45,3,crypto,West,completed,2026-05-10
TXN-20260510-00013,CUST2580,Clothing,363.44,3,debit_card,West,pending,2026-05-10
TXN-20260510-00014,CUST4400,Health,801.17,8,debit_card,East,completed,2026-05-10
TXN-20260510-00015,CUST6926,Groceries,1697.41,9,paypal,North,completed,2026-05-10
TXN-20260510-00016,CUST6528,Sports,945.55,6,bank_transfer,West,processing,2026-05-10
TXN-20260510-00017,CUST7078,Health,236.2,1,paypal,West,processing,2026-05-10
TXN-20260510-00018,CUST4771,Home & Garden,2134.68,4,paypal,North,refunded,2026-05-10
TXN-20260510-00019,CUST4581,Sports,961.96,8,credit_card,West,processing,2026-05-10
TXN-20260510-00020,CUST5197,Clothing,1260.36,6,bank_transfer,Central,pending,2026-05-10
TXN-20260510-00021,CUST5207,Toys,2204.53,7,crypto,South,refunded,2026-05-10
TXN-20260510-00022,CUST7208,Beauty,2157.44,10,bank_transfer,South,processing,2026-05-10
TXN-20260510-00023,CUST6518,Sports,866.73,6,paypal,South,pending,2026-05-10
TXN-20260510-00024,CUST5275,Toys,1858.82,4,bank_transfer,East,processing,2026-05-10
TXN-20260510-00025,CUST1059,Clothing,1256.63,4,credit_card,Central,refunded,2026-05-10
TXN-20260510-00026,CUST3742,Health,1963.25,8,debit_card,East,processing,2026-05-10
TXN-20260510-00027,CUST8668,Health,1329.92,10,crypto,East,pending,2026-05-10
TXN-20260510-00028,CUST1337,Clothing,2016.9,2,crypto,North,completed,2026-05-10
TXN-20260510-00029,CUST7828,Home & Garden,926.22,9,crypto,Central,refunded,2026-05-10
TXN-20260510-00030,CUST4178,Clothing,2479.58,7,bank_transfer,South,refunded,2026-05-10
TXN-20260510-00031,CUST8550,Books,325.53,3,bank_transfer,West,processing,2026-05-10
TXN-20260510-00032,CUST3930,Books,629.17,5,bank_transfer,Central,processing,2026-05-10
TXN-20260510-00033,CUST4009,Automotive,1434.12,8,debit_card,North,pending,2026-05-10
TXN-20260510-00034,CUST8534,Health,43.46,6,bank_transfer,North,refunded,2026-05-10
TXN-20260510-00035,CUST1064,Beauty,1703.16,5,credit_card,Central,refunded,2026-05-10
TXN-20260510-00036,CUST7781,Home & Garden,419.13,10,credit_card,West,completed,2026-05-10
TXN-20260510-00037,CUST1782,Books,1280.78,9,paypal,South,processing,2026-05-10
TXN-20260510-00038,CUST1942,Toys,577.85,4,credit_card,West,pending,2026-05-10
TXN-20260510-00039,CUST5469,Home & Garden,1643.8,2,crypto,South,pending,2026-05-10
TXN-20260510-00040,CUST6794,Health,208.25,2,debit_card,South,pending,2026-05-10
TXN-20260510-00041,CUST9934,Clothing,87.54,9,bank_transfer,South,refunded,2026-05-10
TXN-20260510-00042,CUST4793,Beauty,1522.62,10,debit_card,East,completed,2026-05-10
TXN-20260510-00043,CUST6609,Toys,474.03,3,credit_card,South,processing,2026-05-10
TXN-20260510-00044,CUST9540,Electronics,581.58,2,debit_card,Central,processing,2026-05-10
TXN-20260510-00045,CUST2313,Groceries,2189.2,3,bank_transfer,East,refunded,2026-05-10
TXN-20260510-00046,CUST6134,Beauty,118.77,7,credit_card,East,pending,2026-05-10
TXN-20260510-00047,CUST3174,Electronics,2202.98,9,paypal,East,completed,2026-05-10
TXN-20260510-00048,CUST9068,Toys,2005.03,1,paypal,South,refunded,2026-05-10
TXN-20260510-00049,CUST6481,Books,2014.69,1,bank_transfer,East,pending,2026-05-10
TXN-20260510-00050,CUST9978,Groceries,1735.6,1,paypal,West,processing,2026-05-10
TXN-20260510-00051,CUST9393,Sports,439.51,7,credit_card,South,pending,2026-05-10
TXN-20260510-00052,CUST5256,Groceries,2109.66,2,bank_transfer,North,completed,2026-05-10
TXN-20260510-00053,CUST4310,Groceries,2251.91,3,paypal,North,refunded,2026-05-10
TXN-20260510-00054,CUST4002,Beauty,1911.67,3,credit_card,North,processing,2026-05-10
TXN-20260510-00055,CUST8311,Clothing,418.26,4,paypal,West,pending,2026-05-10
TXN-20260510-00056,CUST8834,Beauty,232.03,9,debit_card,South,processing,2026-05-10
TXN-20260510-00057,CUST4414,Clothing,1093.66,4,debit_card,South,processing,2026-05-10
TXN-20260510-00058,CUST5070,Groceries,2103.04,5,debit_card,Central,completed,2026-05-10
TXN-20260510-00059,CUST4845,Sports,1313.6,7,bank_transfer,Central,completed,2026-05-10
TXN-20260510-00060,CUST4958,Home & Garden,813.47,10,paypal,West,pending,2026-05-10
TXN-20260510-00061,CUST2589,Electronics,2358.54,7,credit_card,East,pending,2026-05-10
TXN-20260510-00062,CUST1818,Home & Garden,466.87,5,credit_card,Central,refunded,2026-05-10
TXN-20260510-00063,CUST4215,Books,289.62,6,bank_transfer,South,refunded,2026-05-10
TXN-20260510-00064,CUST9697,Home & Garden,499.29,1,credit_card,East,pending,2026-05-10
TXN-20260510-00065,CUST3312,Beauty,200.41,7,credit_card,East,refunded,2026-05-10
TXN-20260510-00066,CUST7148,Sports,1348.09,2,credit_card,North,pending,2026-05-10
TXN-20260510-00067,CUST4471,Sports,862.18,5,credit_card,North,processing,2026-05-10
TXN-20260510-00068,CUST2867,Toys,207.01,6,bank_transfer,West,processing,2026-05-10
TXN-20260510-00069,CUST5306,Books,1781.62,2,paypal,Central,pending,2026-05-10
TXN-20260510-00070,CUST2055,Electronics,553.16,6,crypto,North,refunded,2026-05-10
TXN-20260510-00071,CUST6026,Beauty,1564.04,4,bank_transfer,West,completed,2026-05-10
TXN-20260510-00072,CUST5291,Clothing,1942.9,2,credit_card,East,processing,2026-05-10
TXN-20260510-00073,CUST8234,Toys,1986.07,6,crypto,South,completed,2026-05-10
TXN-20260510-00074,CUST5694,Toys,1938.97,2,crypto,East,processing,2026-05-10
TXN-20260510-00075,CUST9029,Books,2490.3,2,credit_card,North,completed,2026-05-10
TXN-20260510-00076,CUST3125,Toys,484.97,10,crypto,North,completed,2026-05-10
TXN-20260510-00077,CUST2988,Books,549.08,2,credit_card,West,refunded,2026-05-10
TXN-20260510-00078,CUST4000,Groceries,2048.28,5,debit_card,West,completed,2026-05-10
TXN-20260510-00079,CUST6075,Groceries,1880.63,7,credit_card,North,refunded,2026-05-10
TXN-20260510-00080,CUST9624,Home & Garden,629.22,3,paypal,North,completed,2026-05-10
TXN-20260510-00081,CUST2144,Home & Garden,1186.29,3,paypal,Central,processing,2026-05-10
TXN-20260510-00082,CUST4563,Health,770.04,8,paypal,Central,refunded,2026-05-10
TXN-20260510-00083,CUST4020,Automotive,711.65,4,paypal,Central,pending,2026-05-10
TXN-20260510-00084,CUST9232,Sports,1536.06,10,crypto,North,pending,2026-05-10
TXN-20260510-00085,CUST8127,Groceries,1434.41,6,bank_transfer,Central,completed,2026-05-10
TXN-20260510-00086,CUST1172,Toys,225.61,8,credit_card,North,completed,2026-05-10
TXN-20260510-00087,CUST4196,Clothing,1942.82,5,debit_card,North,pending,2026-05-10
TXN-20260510-00088,CUST5224,Home & Garden,437.21,9,debit_card,North,completed,2026-05-10
TXN-20260510-00089,CUST6302,Electronics,2414.44,4,paypal,West,refunded,2026-05-10
TXN-20260510-00090,CUST9256,Electronics,1110.3,5,bank_transfer,Central,refunded,2026-05-10
TXN-20260510-00091,CUST4575,Books,331.14,6,crypto,South,pending,2026-05-10
TXN-20260510-00092,CUST9570,Beauty,1064.51,8,debit_card,Central,refunded,2026-05-10
TXN-20260510-00093,CUST3894,Health,2113.13,9,paypal,North,completed,2026-05-10
TXN-20260510-00094,CUST6636,Groceries,325.14,1,credit_card,Central,refunded,2026-05-10
TXN-20260510-00095,CUST5798,Books,436.6,6,credit_card,Central,refunded,2026-05-10
TXN-20260510-00096,CUST1539,Books,1061.97,3,credit_card,South,completed,2026-05-10
TXN-20260510-00097,CUST8779,Toys,1074.69,9,crypto,West,refunded,2026-05-10
TXN-20260510-00098,CUST7182,Home & Garden,267.2,4,paypal,South,completed,2026-05-10
TXN-20260510-00099,CUST5288,Clothing,2298.05,6,bank_transfer,East,pending,2026-05-10
TXN-20260510-00100,CUST3035,Beauty,1661.97,5,paypal,West,pending,2026-05-10
TXN-20260510-00101,CUST3209,Groceries,721.45,1,crypto,Central,refunded,2026-05-10
TXN-20260510-00102,CUST3333,Sports,1031.2,9,debit_card,East,refunded,2026-05-10
TXN-20260510-00103,CUST8114,Toys,235.71,6,credit_card,West,pending,2026-05-10
TXN-20260510-00104,CUST8833,Clothing,1251.96,5,debit_card,Central,completed,2026-05-10
TXN-20260510-00105,CUST3078,Automotive,2028.97,2,paypal,Central,pending,2026-05-10
TXN-20260510-00106,CUST6820,Health,2443.0,2,credit_card,South,completed,2026-05-10
TXN-20260510-00107,CUST8389,Sports,1609.84,8,bank_transfer,North,pending,2026-05-10
TXN-20260510-00108,CUST1731,Beauty,554.32,7,debit_card,South,processing,2026-05-10
TXN-20260510-00109,CUST5727,Beauty,56.99,1,paypal,North,completed,2026-05-10
TXN-20260510-00110,CUST5082,Beauty,986.66,6,bank_transfer,South,refunded,2026-05-10
TXN-20260510-00111,CUST6711,Groceries,1730.0,1,paypal,Central,refunded,2026-05-10
TXN-20260510-00112,CUST9786,Sports,1667.45,5,debit_card,Central,refunded,2026-05-10
TXN-20260510-00113,CUST8841,Clothing,975.95,7,paypal,Central,refunded,2026-05-10
TXN-20260510-00114,CUST8854,Electronics,1394.14,1,paypal,South,pending,2026-05-10
TXN-20260510-00115,CUST1291,Groceries,1323.77,4,paypal,East,refunded,2026-05-10
TXN-20260510-00116,CUST7445,Books,1005.73,5,paypal,South,completed,2026-05-10
TXN-20260510-00117,CUST3551,Health,1161.82,5,bank_transfer,East,pending,2026-05-10
TXN-20260510-00118,CUST6369,Beauty,356.98,10,credit_card,Central,processing,2026-05-10
TXN-20260510-00119,CUST3512,Automotive,533.93,2,bank_transfer,East,processing,2026-05-10
TXN-20260510-00120,CUST9715,Books,824.6,4,credit_card,North,pending,2026-05-10
TXN-20260510-00121,CUST5052,Toys,395.97,4,bank_transfer,South,refunded,2026-05-10
TXN-20260510-00122,CUST2322,Groceries,153.54,1,credit_card,West,processing,2026-05-10
TXN-20260510-00123,CUST4527,Home & Garden,1097.08,9,credit_card,South,processing,2026-05-10
TXN-20260510-00124,CUST8119,Books,696.14,3,crypto,South,processing,2026-05-10
TXN-20260510-00125,CUST7133,Groceries,2387.88,8,bank_transfer,South,processing,2026-05-10
TXN-20260510-00126,CUST9498,Automotive,1494.39,5,crypto,West,processing,2026-05-10
TXN-20260510-00127,CUST2607,Automotive,88.48,8,debit_card,North,refunded,2026-05-10
TXN-20260510-00128,CUST9025,Electronics,955.58,6,credit_card,South,pending,2026-05-10
TXN-20260510-00129,CUST2994,Health,1076.97,9,credit_card,North,pending,2026-05-10
TXN-20260510-00130,CUST4093,Groceries,2386.88,5,credit_card,East,completed,2026-05-10
TXN-20260510-00131,CUST1711,Sports,102.25,4,crypto,South,pending,2026-05-10
TXN-20260510-00132,CUST9471,Electronics,463.84,5,bank_transfer,East,refunded,2026-05-10
TXN-20260510-00133,CUST6681,Books,613.5,1,bank_transfer,North,pending,2026-05-10
TXN-20260510-00134,CUST1673,Sports,1997.06,7,paypal,East,refunded,2026-05-10
TXN-20260510-00135,CUST4050,Automotive,839.03,5,bank_transfer,West,completed,2026-05-10
TXN-20260510-00136,CUST8692,Electronics,641.2,10,credit_card,East,completed,2026-05-10
TXN-20260510-00137,CUST1462,Toys,1780.77,6,credit_card,South,refunded,2026-05-10
TXN-20260510-00138,CUST6880,Books,1476.01,5,paypal,East,processing,2026-05-10
TXN-20260510-00139,CUST3741,Beauty,2070.54,5,crypto,North,completed,2026-05-10
TXN-20260510-00140,CUST8893,Clothing,1973.57,4,credit_card,East,processing,2026-05-10
