transaction_id,customer_id,product_category,amount,quantity,payment_method,region,status,date
TXN-20260511-00737,CUST9144,Clothing,1522.67,5,bank_transfer,Central,pending,2026-05-11
,CUST3425,Health,1735.06,8,debit_card,South,completed,2026-05-11
TXN-20260511-00083,CUST6596,Home & Garden,293.58,2,credit_card,East,pending,2026-05-11
,CUST4159,Books,2493.68,9,credit_card,North,processing,2026-05-11
TXN-20260511-00298,CUST1700,Toys,2033.87,4,crypto,North,completed,2026-05-11
TXN-20260511-00319,CUST3409,Automotive,396.12,9,paypal,East,completed,2026-05-11
TXN-20260511-00435,CUST4550,Sports,1307.82,2,crypto,Central,refunded,2026-05-11
TXN-20260511-00773,CUST3763,Automotive,984.96,5,crypto,West,processing,2026-05-11
TXN-20260511-00290,CUST6320,Health,48.94,8,crypto,South,refunded,2026-05-11
TXN-20260511-00095,CUST4775,Groceries,948.16,10,debit_card,Central,completed,2026-05-11
TXN-20260511-00230,CUST2899,Toys,1538.16,6,debit_card,South,completed,2026-05-11
TXN-20260511-00937,CUST6221,Books,1255.0,5,paypal,West,processing,2026-05-11
TXN-20260511-00165,CUST5397,Clothing,1108.84,5,crypto,North,processing,2026-05-11
TXN-20260511-00885,CUST1068,Books,1291.43,2,debit_card,West,refunded,2026-05-11
TXN-20260511-00009,CUST3616,Health,2224.11,7,bank_transfer,East,pending,2026-05-11
TXN-20260511-00688,CUST9881,Clothing,1179.78,5,crypto,East,pending,2026-05-11
TXN-20260511-00072,CUST2730,Beauty,2096.67,3,paypal,East,processing,2026-05-11
TXN-20260511-00001,CUST1949,Beauty,1515.82,4,debit_card,South,completed,2026-05-11
TXN-20260511-00514,CUST8421,Groceries,1648.7,9,crypto,West,pending,2026-05-11
TXN-20260511-00785,CUST6128,Beauty,1957.82,9,paypal,South,refunded,2026-05-11
TXN-20260511-00620,CUST2419,Automotive,1530.79,1,crypto,Central,processing,2026-05-11
TXN-20260511-00963,CUST7470,Automotive,1919.0,4,credit_card,North,pending,2026-05-11
TXN-20260511-00680,CUST8911,Groceries,416.07,2,bank_transfer,East,completed,2026-05-11
,CUST3722,Clothing,2471.16,7,debit_card,North,completed,2026-05-11
TXN-20260511-00395,CUST9363,Books,1603.21,2,crypto,Central,pending,2026-05-11
TXN-20260511-00523,CUST6314,Automotive,234.68,9,debit_card,North,refunded,2026-05-11
TXN-20260511-00077,CUST1658,Health,,7,credit_card,North,pending,2026-05-11
TXN-20260511-00880,CUST6101,Home & Garden,104.34,2,debit_card,South,completed,2026-05-11
TXN-20260511-00468,CUST9247,Sports,1711.13,9,debit_card,South,pending,2026-05-11
TXN-20260511-00156,CUST5208,Beauty,1032.4,7,debit_card,North,refunded,2026-05-11
TXN-20260511-00624,CUST8660,Automotive,1733.51,2,paypal,West,processing,2026-05-11
TXN-20260511-00080,CUST1027,Books,293.7,4,paypal,North,pending,2026-05-11
TXN-20260511-00358,CUST7472,Home & Garden,770.58,9,debit_card,Central,pending,2026-05-11
TXN-20260511-00254,CUST2765,Toys,1353.93,1,bank_transfer,South,refunded,2026-05-11
TXN-20260511-00034,CUST4080,Clothing,2106.3,6,crypto,East,refunded,2026-05-11
TXN-20260511-00149,CUST8010,Books,221.47,1,bank_transfer,Central,pending,2026-05-11
TXN-20260511-00007,CUST5912,Toys,1036.53,7,debit_card,East,completed,2026-05-11
TXN-20260511-00564,CUST9766,Clothing,142.63,4,credit_card,Central,completed,2026-05-11
,CUST3484,Automotive,616.92,10,paypal,South,pending,2026-05-11
TXN-20260511-00008,CUST9886,Beauty,1687.05,7,crypto,West,refunded,2026-05-11
,CUST2938,Beauty,1504.01,10,paypal,Central,pending,2026-05-11
TXN-20260511-00119,CUST7696,Groceries,1594.56,3,crypto,South,refunded,2026-05-11
,CUST6742,Health,1194.47,10,crypto,East,processing,2026-05-11
TXN-20260511-00625,CUST1546,Automotive,1383.99,3,paypal,West,processing,2026-05-11
TXN-20260511-00950,CUST3080,Electronics,1251.81,1,bank_transfer,Central,refunded,2026-05-11
,CUST2488,Automotive,1427.19,10,crypto,Central,processing,2026-05-11
TXN-20260511-00759,CUST9149,Sports,2401.57,10,credit_card,South,refunded,2026-05-11
TXN-20260511-00659,CUST7991,Home & Garden,341.53,2,paypal,South,completed,2026-05-11
TXN-20260511-00105,CUST5437,Clothing,1200.87,10,paypal,South,completed,2026-05-11
TXN-20260511-00194,CUST2248,Clothing,,8,paypal,East,processing,2026-05-11
TXN-20260511-00442,CUST6384,Beauty,483.36,10,paypal,West,processing,2026-05-11
TXN-20260511-00552,CUST9214,Clothing,1489.25,1,crypto,East,processing,2026-05-11
TXN-20260511-00582,CUST3142,Clothing,1538.9,5,bank_transfer,East,processing,2026-05-11
