order_id,order_date,customer_id,product_id,quantity,amount
1,2024-02-07,9,67,9,1869.83
2,2024-05-28,369,107,5,309.06
3,2024-03-25,118,98,10,1667.55
4,2024-05-07,282,168,6,518.36
5,2024-05-05,495,186,8,924.35
6,2024-03-31,87,36,9,979.19
7,2024-05-18,329,16,9,72.48
8,2024-01-20,484,172,1,1529.85
9,2024-04-15,71,162,4,140.6
10,2024-02-08,5,56,9,914.73
11,2024-01-16,317,164,10,1825.93
12,2024-06-17,250,5,1,1066.76
13,2024-04-15,7,5,9,1445.77
14,2024-05-17,147,5,9,1627.24
15,2024-06-21,221,46,2,1836.5
16,2024-05-14,77,62,4,1241.46
17,2024-03-05,418,91,5,1590.89
18,2024-01-21,192,104,8,1132.17
19,2024-06-27,116,77,2,1309.2
20,2024-06-15,389,9,2,813.53
21,2024-04-06,283,122,1,1275.31
22,2024-06-28,88,22,8,1691.42
23,2024-06-14,402,85,10,1954.76
24,2024-01-25,459,136,1,463.38
25,2024-06-26,455,146,8,545.83
26,2024-01-20,351,72,9,1129.2
27,2024-01-09,92,81,1,1923.12
28,2024-05-30,74,193,7,1858.1
29,2024-03-17,84,145,4,1135.55
30,2024-04-09,347,139,6,770.77
31,2024-02-05,405,177,2,1004.08
32,2024-03-29,28,26,7,468.12
33,2024-01-20,175,155,10,1909.93
34,2024-04-11,497,199,6,64.1
35,2024-03-10,402,116,8,460.13
36,2024-05-21,482,97,7,375.55
37,2024-05-29,339,98,2,1545.47
38,2024-03-16,409,64,2,168.67
39,2024-02-09,195,183,3,1480.6
40,2024-03-22,185,28,2,15.36
41,2024-03-19,228,93,5,208.95
42,2024-01-23,96,111,8,1116.18
43,2024-05-11,209,27,1,183.79
44,2024-05-21,48,153,10,1569.95
45,2024-04-08,7,75,7,778.66
46,2024-01-22,372,144,4,1146.06
47,2024-02-13,351,98,3,281.98
48,2024-03-18,138,127,3,131.22
49,2024-04-21,142,108,5,971.04
50,2024-01-20,185,65,4,1443.19
51,2024-05-06,305,158,4,918.43
52,2024-02-04,156,2,7,667.77
53,2024-06-07,195,85,8,672.8
54,2024-06-15,499,153,3,604.37
55,2024-06-03,486,178,4,960.62
56,2024-02-15,494,102,6,586.44
57,2024-06-26,325,126,10,1565.03
58,2024-03-24,193,72,7,733.2
59,2024-05-24,103,152,9,363.95
60,2024-05-20,14,187,8,1886.23
61,2024-02-23,225,75,2,1638.83
62,2024-04-14,345,128,3,1268.5
63,2024-03-02,130,169,3,1431.89
64,2024-04-06,38,115,10,961.07
65,2024-04-12,274,130,7,1089.57
66,2024-04-02,360,138,10,1278.16
67,2024-01-22,56,197,4,1316.91
68,2024-03-31,86,166,10,93.37
69,2024-06-14,347,166,7,1933.78
70,2024-03-25,495,111,2,26.04
71,2024-03-07,114,131,9,1118.19
72,2024-06-25,295,57,8,751.36
73,2024-04-28,396,174,10,1382.42
74,2024-02-08,177,7,8,213.57
75,2024-04-16,472,22,2,1663.47
76,2024-02-06,179,80,6,913.38
77,2024-02-22,267,124,6,954.94
78,2024-04-22,370,179,8,641.22
79,2024-03-17,23,182,2,50.06
80,2024-03-28,332,28,3,1860.19
81,2024-03-03,265,45,9,324.47
82,2024-05-23,219,119,4,1596.51
83,2024-06-10,95,48,7,794.18
84,2024-06-06,453,51,8,1186.44
85,2024-04-09,3,181,4,415.54
86,2024-06-29,415,17,10,207.99
87,2024-05-17,96,94,6,398.16
88,2024-01-30,135,172,8,1057.79
89,2024-06-12,161,153,7,1224.55
90,2024-05-30,59,90,6,1691.8
91,2024-06-07,89,173,5,1837.76
92,2024-05-31,44,173,3,629.8
93,2024-03-02,157,30,3,749.74
94,2024-02-06,262,100,7,1194.86
95,2024-05-27,197,109,3,975.9
96,2024-05-17,356,166,3,1112.05
97,2024-05-05,148,36,3,632.58
98,2024-04-25,318,14,6,1903.92
99,2024-05-04,70,50,7,1927.83
100,2024-05-09,335,127,7,1370.96
101,2024-04-16,364,114,8,338.67
102,2024-05-24,16,195,4,587.72
103,2024-03-11,116,138,5,340.58
104,2024-04-27,290,191,8,1101.7
105,2024-01-29,294,30,5,1551.34
106,2024-04-03,278,194,1,1521.2
107,2024-04-22,280,56,7,209.32
108,2024-06-16,385,64,5,1750.24
109,2024-01-09,231,68,6,1725.08
110,2024-01-23,225,31,4,423.7
111,2024-05-30,353,90,10,1267.37
112,2024-02-12,316,36,4,1627.98
113,2024-01-16,292,90,9,565.76
114,2024-05-17,87,83,5,582.22
115,2024-03-09,488,132,2,275.5
116,2024-04-15,471,16,5,1734.75
117,2024-02-02,360,34,4,296.75
118,2024-03-23,425,64,7,981.47
119,2024-05-27,324,69,7,753.47
