order_id,customer_id,order_status,order_amount,order_ts,region
ORD-0018,CUST0019,DELIVERED,535.86,2024-01-04 08:01:00,ap-south
ORD-0023,CUST0021,SHIPPED,157.66,2024-01-10 19:26:39,us-west
ORD-0012,CUST0016,DELIVERED,937.47,2024-01-11 22:48:49,ap-south
ORD-0078,CUST0036,DELIVERED,948.59,2024-01-11 04:56:45,ca-central
ORD-0017,CUST0089,CANCELLED,65.4,2024-04-01 13:25:41,us-east
ORD-0009,CUST0009,PLACED,11.01,2023-12-31 10:00:00,eu-central
ORD-0074,CUST0008,DELIVERED,491.7,2024-02-23 22:58:37,ap-south
ORD-0045,CUST0077,DELIVERED,636.83,2024-06-09 04:44:42,us-west
ORD-0060,CUST0088,CANCELLED,806.72,2024-04-15 05:06:36,eu-central
ORD-0009,CUST0096,DELIVERED,851.24,2024-01-19 10:22:42,ca-central
ORD-0069,CUST0046,PLACED,883.96,2024-05-08 18:30:03,eu-central
ORD-0075,CUST0069,PLACED,872.35,2024-04-08 23:38:05,eu-central
ORD-0005,CUST0024,DELIVERED,328.26,2024-01-17 22:17:57,ca-central
ORD-0079,CUST0069,PLACED,526.73,2024-03-12 02:08:16,ap-south
ORD-0051,CUST0084,DELIVERED,647.01,2024-03-05 05:14:27,eu-central
ORD-0083,CUST0030,  shipped  ,291.05,2024-06-02 23:26:04,ca-central
ORD-0089,CUST0043,UNKNOWN,243.17,2024-05-28 09:24:57,us-east
ORD-0085,CUST0030,UNKNOWN,903.31,2024-01-06 17:55:40,us-east
ORD-0070,CUST0099,SHIPPED,181.26,2024-03-23 19:15:35,us-east
ORD-0082,CUST0060,Delivered,105.18,2024-02-02 14:54:13,us-east
ORD-0008,CUST0058,SHIPPED,899.18,2023-12-31 10:00:00,ca-central
ORD-0003,CUST0029,CANCELLED,404.75,2023-12-31 10:00:00,ap-south
ORD-0042,CUST0007,CANCELLED,751.0,2024-01-29 21:39:52,ap-south
ORD-0007,CUST0025,PLACED,90.14,2024-02-08 20:40:57,ca-central
ORD-0048,CUST0070,DELIVERED,331.41,2024-02-14 14:13:37,us-west
ORD-0014,CUST0095,SHIPPED,770.82,2024-03-15 15:05:53,us-east
ORD-0073,CUST0014,CANCELLED,908.05,2024-01-18 15:11:54,us-east
ORD-0058,CUST0075,CANCELLED,437.67,2024-04-11 22:27:56,ca-central
ORD-0066,CUST0085,DELIVERED,601.77,2024-06-15 23:42:51,us-east
,CUST0067,DELIVERED,25.17,2024-02-26 07:43:00,eu-central
ORD-0084,CUST0096,UNKNOWN,270.7,2024-04-02 13:13:29,eu-central
ORD-0027,CUST0059,SHIPPED,28.12,2024-04-04 11:18:18,us-east
ORD-0001,CUST0031,SHIPPED,776.19,2023-12-31 10:00:00,us-east
ORD-0034,CUST0048,CANCELLED,985.16,2024-05-29 01:48:21,ca-central
ORD-0054,CUST0021,DELIVERED,673.46,2024-06-10 10:09:21,eu-central
ORD-0022,CUST0014,SHIPPED,246.98,2024-02-10 18:21:23,us-east
ORD-0071,CUST0061,PLACED,514.64,2024-03-24 19:40:11,us-west
,CUST0091,PLACED,793.3,2024-05-16 15:13:09,ap-south
ORD-0086,CUST0072,pending,257.35,2024-04-26 14:27:01,us-east
ORD-0099,CUST0032,DELIVERED,0,2024-05-12 07:48:20,ap-south
ORD-0072,CUST0026,PLACED,939.37,2024-06-29 22:14:31,ap-south
ORD-0063,CUST0097,DELIVERED,33.95,2024-04-25 11:35:25,eu-central
ORD-0019,CUST0046,CANCELLED,579.82,2024-01-13 01:51:53,ap-south
ORD-0101,CUST0004,SHIPPED,-1.99,2024-02-29 19:30:15,ap-south
ORD-0025,CUST0054,CANCELLED,511.32,2024-04-26 04:06:52,us-east
ORD-0015,CUST0005,PLACED,500.85,2024-01-08 15:53:02,eu-central
ORD-0100,CUST0017,PLACED,-50.0,2024-01-23 17:34:00,ca-central
ORD-0035,CUST0051,CANCELLED,969.48,2024-02-19 11:57:27,ap-south
ORD-0002,CUST0038,CANCELLED,953.5,2024-04-28 17:01:06,us-west
ORD-0002,CUST0091,DELIVERED,607.42,2023-12-31 10:00:00,ca-central
ORD-0097,CUST0016,DELIVERED,-50.0,2024-06-06 16:09:51,us-east
ORD-0020,CUST0019,PLACED,703.98,2024-02-16 14:02:32,us-east
,CUST0057,SHIPPED,418.57,2024-05-20 15:07:39,eu-central
ORD-0067,CUST0045,DELIVERED,154.69,2024-03-27 13:29:48,us-west
ORD-0024,CUST0086,CANCELLED,967.25,2024-04-21 22:57:10,ca-central
ORD-0062,CUST0050,CANCELLED,868.67,2024-03-24 10:03:08,ca-central
ORD-0043,CUST0052,PLACED,435.56,2024-01-22 06:38:06,us-east
ORD-0092,CUST0005,pending,59.38,2024-01-04 02:33:40,eu-central
ORD-0076,CUST0067,SHIPPED,588.41,2024-06-18 15:12:25,us-east
ORD-0032,CUST0025,CANCELLED,846.98,2024-02-25 01:17:13,us-east
ORD-0094,CUST0055,UNKNOWN,940.17,2024-06-15 22:10:57,ca-central
ORD-0077,CUST0085,SHIPPED,187.21,2024-04-18 18:24:16,us-west
ORD-0001,CUST0033,DELIVERED,205.34,2024-02-07 12:03:06,us-east
ORD-0029,CUST0085,PLACED,515.29,2024-05-11 19:08:07,us-east
ORD-0021,CUST0086,CANCELLED,122.32,2024-03-16 18:44:12,ap-south
ORD-0031,CUST0037,CANCELLED,878.46,2024-04-13 09:45:55,ap-south
ORD-0081,CUST0058,  shipped  ,734.88,2024-05-20 23:56:51,ap-south
ORD-0049,CUST0063,CANCELLED,940.39,2024-03-16 01:55:44,ca-central
,CUST0023,PLACED,560.11,2024-06-24 03:15:47,ap-south
ORD-0050,CUST0026,CANCELLED,699.4,2024-02-11 02:34:51,ca-central
ORD-0044,CUST0049,SHIPPED,47.97,2024-06-01 10:03:04,eu-central
ORD-0096,CUST0050,SHIPPED,-1.99,2024-06-04 22:02:10,ap-south
ORD-0061,CUST0061,CANCELLED,916.04,2024-06-22 12:34:29,us-west
ORD-0065,CUST0003,PLACED,394.4,2024-06-25 00:17:25,eu-central
ORD-0064,CUST0037,CANCELLED,516.08,2024-03-26 19:00:23,ca-central
ORD-0005,CUST0027,CANCELLED,902.06,2023-12-31 10:00:00,us-east
ORD-0026,CUST0061,CANCELLED,302.09,2024-02-23 15:27:02,eu-central
