order_id,customer_id,product,quantity,unit_price,order_date,status
1,C001,Widget A,5,19.99,2024-01-15,completed
2,C002,Gadget B,3,49.99,2024-01-16,completed
3,C003,Widget A,2,19.99,2024-01-17,pending
4,C004,Gizmo C,1,89.99,2024-01-18,completed
5,C005,Gadget B,4,49.99,2024-01-19,cancelled
6,C006,Widget A,10,19.99,2024-01-20,completed
7,C007,Gizmo C,2,89.99,2024-01-21,pending
8,C008,Gadget B,1,49.99,2024-01-22,completed
9,C009,Widget A,3,19.99,2024-01-23,cancelled
10,C010,Gizmo C,5,89.99,2024-01-24,completed
11,C011,Widget A,7,19.99,2024-01-25,completed
12,C012,Gadget B,2,49.99,2024-01-26,pending
13,C013,Gizmo C,3,89.99,2024-01-27,completed
14,C014,Widget A,1,19.99,2024-01-28,pending
15,C015,Gadget B,6,49.99,2024-01-29,completed
16,C016,Gizmo C,4,89.99,2024-01-30,cancelled
17,C017,Widget A,2,19.99,2024-01-31,completed
18,C018,Gadget B,3,49.99,2024-02-01,completed
19,C019,Gizmo C,1,89.99,2024-02-02,pending
20,C020,Widget A,8,19.99,2024-02-03,completed
