order_id,customer_id,product,region,quantity,unit_price,order_date,status
ORD-001,CUST-101,Laptop,North,2,899.99,2024-01-05,completed
ORD-002,CUST-102,Monitor,South,1,349.50,2024-01-06,completed
ORD-003,CUST-103,Keyboard,East,3,79.99,2024-01-07,pending
ORD-004,CUST-104,Mouse,West,5,29.99,2024-01-08,completed
ORD-005,CUST-105,Headphones,North,2,149.99,2024-01-09,cancelled
ORD-006,CUST-106,Laptop,South,1,899.99,2024-01-10,completed
ORD-007,CUST-107,Monitor,East,2,349.50,2024-01-11,pending
ORD-008,CUST-108,Webcam,West,4,89.99,2024-01-12,completed
ORD-009,CUST-109,Keyboard,North,1,79.99,2024-01-13,completed
ORD-010,CUST-110,Mouse,South,10,29.99,2024-01-14,completed
ORD-011,CUST-111,Headphones,East,3,149.99,2024-01-15,completed
ORD-012,CUST-112,Webcam,West,2,89.99,2024-01-16,pending
ORD-013,CUST-113,Laptop,North,1,899.99,2024-01-17,completed
ORD-014,CUST-114,Monitor,South,3,349.50,2024-01-18,cancelled
ORD-015,CUST-115,Keyboard,East,6,79.99,2024-01-19,completed
ORD-016,CUST-116,Mouse,West,4,29.99,2024-01-20,completed
ORD-017,CUST-117,Headphones,North,1,149.99,2024-01-21,pending
ORD-018,CUST-118,Webcam,South,3,89.99,2024-01-22,completed
ORD-019,CUST-119,Laptop,East,2,899.99,2024-01-23,completed
ORD-020,CUST-120,Monitor,West,1,349.50,2024-01-24,completed
ORD-021,CUST-121,Keyboard,North,4,79.99,2024-01-25,completed
ORD-022,CUST-122,Mouse,South,8,29.99,2024-01-26,pending
ORD-023,CUST-123,Headphones,East,2,149.99,2024-01-27,completed
ORD-024,CUST-124,Webcam,West,5,89.99,2024-01-28,completed
ORD-025,CUST-125,Laptop,North,1,899.99,2024-01-29,completed
