timestamp,pipeline_stage,latency_ms,record_count,error_rate,cpu_utilization,memory_usage_mb,throughput_rps,queue_depth,status
2024-01-01 00:00:00,validation,213.89,1318,1.858,36.69,628.1,394.6,23,success
2024-01-01 00:10:00,transformation,230.14,1335,3.441,38.14,631.0,361.2,22,warning
2024-01-01 00:20:00,ingestion,182.02,1198,1.176,31.09,583.1,424.0,14,success
2024-01-01 00:30:00,transformation,212.93,1217,0.814,35.93,655.3,388.0,15,success
2024-01-01 00:40:00,ingestion,196.2,1216,2.443,39.51,607.8,409.2,22,success
2024-01-01 00:50:00,validation,200.12,1262,3.183,46.77,636.7,364.6,24,success
2024-01-01 01:00:00,ingestion,199.98,1424,2.149,39.59,676.1,364.2,19,success
2024-01-01 01:10:00,transformation,197.33,1318,2.118,34.58,678.0,388.5,24,success
2024-01-01 01:20:00,ingestion,212.41,1355,1.969,47.81,677.1,341.0,19,success
2024-01-01 01:30:00,ingestion,200.58,1313,1.109,37.17,605.6,389.1,21,success
2024-01-01 01:40:00,transformation,218.44,1378,1.459,31.93,602.6,362.5,17,success
2024-01-01 01:50:00,loading,214.93,1456,1.991,42.51,691.0,397.6,26,success
2024-01-01 02:00:00,validation,213.36,1181,1.879,36.09,641.8,385.6,24,success
2024-01-01 02:10:00,ingestion,204.54,1424,1.988,52.86,694.0,399.2,18,success
2024-01-01 02:20:00,ingestion,210.67,1135,2.521,39.4,659.3,358.5,24,warning
2024-01-01 02:30:00,loading,456.99,1733,4.279,45.26,669.3,246.8,40,success
2024-01-01 02:40:00,transformation,576.01,2096,6.185,46.82,722.2,183.3,50,success
2024-01-01 02:50:00,ingestion,207.88,1387,1.791,42.46,638.1,374.5,11,success
2024-01-01 03:00:00,loading,224.99,1389,2.769,48.12,654.5,350.2,23,success
2024-01-01 03:10:00,validation,235.67,1537,2.4,44.61,626.6,344.2,23,success
2024-01-01 03:20:00,loading,200.2,1264,1.784,34.72,617.3,404.7,19,success
2024-01-01 03:30:00,loading,234.17,1409,2.376,43.83,632.6,413.2,22,success
2024-01-01 03:40:00,loading,216.8,1393,2.021,40.65,660.8,350.3,20,warning
2024-01-01 03:50:00,ingestion,235.94,1335,2.416,42.27,660.6,337.3,25,success
2024-01-01 04:00:00,ingestion,216.51,1311,2.544,37.89,612.2,388.5,22,success
2024-01-01 04:10:00,transformation,201.4,1278,1.97,37.28,660.2,364.1,19,success
2024-01-01 04:20:00,transformation,204.49,1334,1.86,37.92,690.2,397.7,22,success
2024-01-01 04:30:00,transformation,229.99,1411,1.738,45.88,683.3,371.3,21,success
2024-01-01 04:40:00,transformation,575.61,1930,6.046,47.11,600.6,154.2,47,success
2024-01-01 04:50:00,transformation,216.22,1402,2.336,38.73,707.2,379.1,26,success
2024-01-01 05:00:00,transformation,239.5,1225,1.804,33.66,652.2,363.9,19,success
2024-01-01 05:10:00,ingestion,205.07,1310,2.468,41.92,717.4,373.4,15,success
2024-01-01 05:20:00,ingestion,229.0,1284,1.691,40.82,687.6,327.5,20,success
2024-01-01 05:30:00,transformation,211.74,1362,2.632,38.19,684.4,376.5,21,success
2024-01-01 05:40:00,validation,219.97,1374,2.544,37.06,647.9,399.5,23,success
2024-01-01 05:50:00,ingestion,230.23,1359,2.512,49.77,678.3,329.7,21,success
2024-01-01 06:00:00,transformation,216.31,1386,1.975,31.39,633.1,350.9,22,success
2024-01-01 06:10:00,validation,223.07,1436,2.519,44.01,644.8,374.7,28,success
2024-01-01 06:20:00,transformation,243.48,1384,2.973,47.22,690.3,354.7,25,success
2024-01-01 06:30:00,ingestion,219.22,1266,2.488,22.06,510.4,376.7,23,success
2024-01-01 06:40:00,transformation,239.81,1257,2.063,42.83,663.2,342.1,20,success
2024-01-01 06:50:00,ingestion,209.68,1338,2.231,38.97,688.7,397.4,15,success
2024-01-01 07:00:00,loading,233.84,1393,2.904,42.18,662.5,360.6,15,success
2024-01-01 07:10:00,ingestion,246.73,1317,3.567,38.14,697.3,365.9,22,success
2024-01-01 07:20:00,validation,187.18,1357,1.769,45.73,664.1,394.1,10,success
2024-01-01 07:30:00,ingestion,211.39,1301,2.543,41.33,686.7,376.7,22,success
